iter	Passed	Remaining
0	5	1049
1	10	1049
2	15	1046
3	21	1056
4	27	1067
5	33	1068
6	38	1052
7	43	1047
8	48	1034
9	54	1028
10	59	1019
11	64	1011
12	69	1004
13	75	1001
14	80	997
15	86	993
16	91	985
17	97	981
18	102	977
19	107	970
20	112	962
21	118	958
22	123	951
23	128	944
24	134	938
25	139	933
26	145	930
27	151	928
28	156	923
29	161	917
30	167	911
31	172	906
32	177	900
33	183	894
34	188	889
35	193	883
36	199	877
37	204	873
38	210	870
39	217	868
40	222	864
41	228	859
42	235	859
43	241	856
44	247	852
45	253	847
46	258	843
47	265	839
48	270	833
49	276	828
50	282	824
51	287	819
52	293	814
53	300	813
54	306	807
55	312	803
56	318	800
57	324	794
58	330	790
59	336	786
60	342	781
61	349	777
62	355	773
63	361	767
64	367	763
65	373	758
66	379	753
67	385	747
68	390	742
69	396	736
70	402	732
71	408	726
72	414	721
73	420	716
74	429	716
75	435	710
76	442	706
77	448	701
78	454	696
79	460	691
80	467	686
81	472	680
82	478	674
83	484	669
84	490	663
85	496	658
86	502	652
87	508	647
88	514	642
89	520	636
90	527	631
91	533	626
92	539	620
93	545	615
94	551	609
95	557	603
96	562	597
97	568	591
98	574	586
99	581	581
100	587	575
101	593	569
102	599	564
103	605	558
104	610	552
105	617	547
106	622	541
107	628	535
108	634	529
109	640	523
110	646	518
111	652	512
112	658	506
113	664	501
114	670	495
115	676	490
116	683	485
117	689	479
118	695	473
119	702	468
120	707	462
121	713	456
122	719	450
123	725	444
124	732	439
125	738	433
126	743	427
127	749	421
128	755	415
129	761	409
130	767	403
131	772	398
132	778	392
133	784	386
134	790	380
135	796	374
136	802	369
137	808	363
138	814	357
139	820	351
140	826	345
141	832	340
142	839	334
143	846	329
144	852	323
145	858	317
146	864	311
147	870	305
148	880	301
149	887	295
150	894	290
151	900	284
152	906	278
153	912	272
154	918	266
155	924	260
156	930	254
157	936	248
158	941	242
159	948	237
160	954	231
161	960	225
162	966	219
163	972	213
164	978	207
165	984	201
166	990	195
167	996	189
168	1001	183
169	1007	177
170	1014	172
171	1020	166
172	1026	160
173	1032	154
174	1038	148
175	1044	142
176	1050	136
177	1055	130
178	1062	124
179	1068	118
180	1073	112
181	1079	106
182	1084	100
183	1090	94
184	1097	88
185	1103	83
186	1109	77
187	1115	71
188	1121	65
189	1127	59
190	1133	53
191	1139	47
192	1146	41
193	1152	35
194	1157	29
195	1163	23
196	1169	17
197	1175	11
198	1181	5
199	1187	0
